Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2017-03-22,2348.45,1.6578074262318228,20661.3008,1.6562802919984212
2017-03-23,2345.96,1.656049696456304,20656.5801,1.6559018645968688
2017-03-24,2343.98,1.654651983622759,20596.7207,1.651103331074195
2017-03-27,2341.5901,1.652964915996047,20550.9805,1.6474366407459622
2017-03-28,2358.5701,1.6649513624170549,20701.5,1.6595027968812746
2017-03-29,2361.1299,1.6667583650995341,20659.3203,1.6561215283682869
2017-03-30,2368.0601,1.6716505012000566,20728.4902,1.6616664233039196
2017-03-31,2362.72,1.6678808414513624,20663.2207,1.6564341977260126
2017-04-03,2358.8401,1.6651419596216293,20650.2109,1.655391287816737
2017-04-04,2360.1599,1.6660736269942116,20689.2402,1.6585200095282226
2017-04-05,2352.95,1.6609840463080616,20648.1504,1.655226111113939
2017-04-06,2357.49,1.6641889030072003,20662.9492,1.6564124333606596
2017-04-07,2355.54,1.6628123676408302,20656.0996,1.6558633460791816
2017-04-10,2357.1599,1.6639558802767191,20658.0195,1.6560172518067728
2017-04-11,2353.78,1.6615699562332347,20651.3008,1.6554786579154412
2017-04-12,2344.9299,1.6553225328250742,20591.8594,1.6507136326974359
2017-04-13,2328.95,1.6440420725681208,20453.25,1.6396022307712934
2017-04-17,2349.01,1.6582027389524217,20636.9199,1.6543258359570483
2017-04-18,2342.1899,1.6533883241564309,20523.2793,1.645216018140017
2017-04-19,2338.1699,1.6505505435549908,20404.4902,1.635693479015364
2017-04-20,2355.8401,1.6630242129041366,20578.7109,1.6496596041234293
2017-04-21,2348.6899,1.6579767753776649,20547.7598,1.6471784584568567
2017-04-24,2374.1499,1.675949385853452,20763.8906,1.6645042400230323
2017-04-25,2388.6101,1.6861570662148808,20996.1191,1.6831204680869671
2017-04-26,2387.45,1.6853381335592263,20975.0898,1.6814346877248458
2017-04-27,2388.77,1.6862699421149232,20981.3301,1.6819349314416479
2017-04-28,2384.2,1.6830439079486093,20940.5098,1.6786626370659006
